date,daily_total
01/01/2023,99.8
02/01/2023,101.2
03/01/2023,102.6
04/01/2023,105.9
05/01/2023,106.5
06/01/2023,107.5
07/01/2023,109.4
08/01/2023,108.6
09/01/2023,112.0
10/01/2023,111.8
11/01/2023,113.1
12/01/2023,115.2
13/01/2023,113.9
14/01/2023,116.7
15/01/2023,118.1
16/01/2023,118.5
17/01/2023,118.1
18/01/2023,118.1
19/01/2023,117.3
20/01/2023,117.9
21/01/2023,118.9
22/01/2023,120.3
23/01/2023,120.4
24/01/2023,117.5
25/01/2023,119.3
26/01/2023,119.7
27/01/2023,119.6
28/01/2023,116.9
29/01/2023,116.1
30/01/2023,117.0
31/01/2023,116.4
01/02/2023,136.6
02/02/2023,134.4
03/02/2023,134.0
04/02/2023,135.2
05/02/2023,135.2
06/02/2023,133.6
07/02/2023,134.0
08/02/2023,133.4
09/02/2023,133.2
10/02/2023,131.7
11/02/2023,131.7
12/02/2023,130.8
13/02/2023,133.2
14/02/2023,132.7
15/02/2023,133.3
16/02/2023,133.1
17/02/2023,134.2
18/02/2023,135.2
19/02/2023,136.0
20/02/2023,134.8
21/02/2023,135.9
22/02/2023,137.5
23/02/2023,137.9
24/02/2023,140.3
25/02/2023,139.2
26/02/2023,142.8
27/02/2023,144.4
28/02/2023,143.2
01/03/2023,146.2
02/03/2023,148.3
03/03/2023,165.1
04/03/2023,166.3
05/03/2023,168.0
06/03/2023,168.7
07/03/2023,169.1
08/03/2023,170.1
09/03/2023,172.7
10/03/2023,173.6
11/03/2023,176.5
12/03/2023,177.3
13/03/2023,176.4
14/03/2023,178.6
15/03/2023,180.7
16/03/2023,180.9
17/03/2023,183.0
18/03/2023,183.8
19/03/2023,184.3
20/03/2023,185.1
21/03/2023,185.5
22/03/2023,184.1
23/03/2023,186.1
24/03/2023,184.7
25/03/2023,187.0
26/03/2023,185.8
27/03/2023,184.5
28/03/2023,186.3
29/03/2023,185.5
30/03/2023,183.4
31/03/2023,184.6
01/04/2023,183.6
02/04/2023,185.0
03/04/2023,182.3
04/04/2023,182.7
05/04/2023,182.1
06/04/2023,181.8
07/04/2023,181.0
08/04/2023,181.5
09/04/2023,180.1
10/04/2023,181.1
